agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url
1,100224,44,,3,Ballard - Montlake,http://metro.kingcounty.gov/schedules/044/n0.html
1,100225,45,,3,Loyal Heights to University District,http://metro.kingcounty.gov/schedules/045/n0.html
1,100227,47,,3,Summit - Downtown Seattle,http://metro.kingcounty.gov/schedules/047/n0.html
1,100228,48,,3,Mt Baker to University District,http://metro.kingcounty.gov/schedules/048/n0.html
1,100229,5,,3,Shoreline CC to Greenwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/005/n0.html
1,100230,50,,3,Alki to West Sea/SODO/Beacn Hill/VA Hosp/ Col City,http://metro.kingcounty.gov/schedules/050/n0.html
1,100238,55,,3,Admiral District to Alaska Junction to Downtown Se,http://metro.kingcounty.gov/schedules/055/n0.html
1,100242,56,,3,Alki to Admiral District to Downtown Seattle,http://metro.kingcounty.gov/schedules/056/n0.html
1,100246,57,,3,Alaska Junction to Genesee Hill to Admiral Distric,http://metro.kingcounty.gov/schedules/057/n0.html
1,100249,60,,3,Westwood Village to Georgetown to Broadway,http://metro.kingcounty.gov/schedules/060/n0.html
1,100251,601,,3,Group Health Coop - CBD,http://metro.kingcounty.gov/schedules/601/n0.html
1,100252,62,,3,CBD-Sand Point,http://metro.kingcounty.gov/schedules/062/n0.html
1,100253,64,,3,Lake City to Downtown Seattle to First Hill,http://metro.kingcounty.gov/schedules/064/n0.html
1,100254,65,,3,Lake City  to University District,http://metro.kingcounty.gov/schedules/065/n0.html
1,100258,661,,3,North Base Shuttle and Shoreline NE 145/I5 to SODO,http://metro.kingcounty.gov/schedules/661/n0.html
1,100259,67,,3,Northgate TC to Roosevelt to University District,http://metro.kingcounty.gov/schedules/067/n0.html
1,100263,7,,3,Prentice St - Rainier Bch - Downtown Sea,http://metro.kingcounty.gov/schedules/007/n0.html
1,100264,70,,3,University District to Eastlake to CBD,http://metro.kingcounty.gov/schedules/070/n0.html
1,100265,71,,3,Wedgwood to University District to CBD,http://metro.kingcounty.gov/schedules/071/n0.html
1,100267,73,,3,Jackson Park to University District to CBD,http://metro.kingcounty.gov/schedules/073/n0.html
1,100268,74,,3,Peak hr express fr Sand Point to Downtown Seattle,http://metro.kingcounty.gov/schedules/074/n0.html
1,100269,75,,3,Northgate TC to Lake City to Sand Pt to U-District,http://metro.kingcounty.gov/schedules/075/n0.html
1,100270,76,,3,Wedgwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/076/n0.html
1,100271,77,,3,North City to Downtown Seattle,http://metro.kingcounty.gov/schedules/077/n0.html
1,100272,773,,3,Seacrest Park to West Seattle Junction,http://metro.kingcounty.gov/schedules/773/n0.html
1,100273,78,,3,Laurelhurst to U-Link Station,http://metro.kingcounty.gov/schedules/078/n0.html
1,100275,8,,3,Seattle Center to Capitol Hill to Rainier Beach,http://metro.kingcounty.gov/schedules/008/n0.html
1,100277,82,,3,Downtown Seattle to Queen Anne to Green Lake to Gr,http://metro.kingcounty.gov/schedules/082/n0.html
1,100278,83,,3,Downtown Seattle to University District to Maple L,http://metro.kingcounty.gov/schedules/083/n0.html
1,100279,84,,3,Downtown Seattle to Madison Park to Madrona,http://metro.kingcounty.gov/schedules/084/n0.html
1,100284,888,,3,Eastgate P&R Interlake High International School,http://metro.kingcounty.gov/schedules/888/n0.html
1,100285,889,,3,Cherry Crest Sammamish Highl International School,http://metro.kingcounty.gov/schedules/889/n0.html
1,100287,891,,3,Mercer Island to South Island to M.I. High School,http://metro.kingcounty.gov/schedules/891/n0.html
1,100288,892,,3,Mercer Island to Mercer Island High School,http://metro.kingcounty.gov/schedules/892/n0.html
1,100289,9,,3,Rainier Beach to Columbia City to Broadway,http://metro.kingcounty.gov/schedules/009/n0.html
1,100290,901,,3,Mirror Lake to Federal Way TC,http://metro.kingcounty.gov/schedules/901/n0.html
1,100292,903,,3,Twin Lakes to Federal Way TC,http://metro.kingcounty.gov/schedules/903/n0.html
1,100293,908,,3,Renton Highlands to Renton TC,http://metro.kingcounty.gov/schedules/908/n0.html
1,100296,913,,3,Kent Rail Station to Riverview,http://metro.kingcounty.gov/schedules/913/n0.html
1,100297,914,,3,Downtown Kent to Kent East Hill,http://metro.kingcounty.gov/schedules/914/n0.html
1,100299,916,,3,Downtown Kent to Kent East Hill to Lake Meridian,http://metro.kingcounty.gov/schedules/916/n0.html
1,100300,917,,3,Pacific to Algona to Auburn Station,http://metro.kingcounty.gov/schedules/917/n0.html
1,100324,952,,3,Auburn P&R to Kennydale to Boeing Everett,http://metro.kingcounty.gov/schedules/952/n0.html
1,100341,982,,3,Bear Creek P&R to Lakeside School,http://metro.kingcounty.gov/schedules/982/n0.html
1,100343,984,,3,Lakeside School to Downtown Seattle,http://metro.kingcounty.gov/schedules/984/n0.html
1,100344,986,,3,Houghton P&R to Lakeside School,http://metro.kingcounty.gov/schedules/986/n0.html
1,100345,987,,3,Lakeside School to Rainier Beach,http://metro.kingcounty.gov/schedules/987/n0.html
1,100346,988,,3,Madrona to Lakeside School,http://metro.kingcounty.gov/schedules/988/n0.html
1,100347,989,,3,Issaquah TC to Lakeside School,http://metro.kingcounty.gov/schedules/989/n0.html
1,100348,99,,3,International District to Pioneer Sq to Belltown,http://metro.kingcounty.gov/schedules/099/n0.html
1,100350,994,,3,Downtown Seattle to Lakeside School,http://metro.kingcounty.gov/schedules/994/n0.html
1,100351,995,,3,Laurelhurst to Lakeside School,http://metro.kingcounty.gov/schedules/995/n0.html
1,100447,49,,3,U Dist - Broadway - Downtown Sea,http://metro.kingcounty.gov/schedules/049/n0.html
1,100448,248,,3,Avondale to Redmond TC to Kirkland TC,http://metro.kingcounty.gov/schedules/248/n0.html
1,100459,218,,3,Issaquah Hlnds Downtown,http://metro.kingcounty.gov/schedules/218/n0.html
1,100469,180,,3,Auburn Sounder/Kent Sounder/Sea Tac/Burien,http://metro.kingcounty.gov/schedules/180/n0.html
1,100473,981,,3,"Lakeside School, Houghton P&R",http://metro.kingcounty.gov/schedules/981/n0.html
1,100475,157,,3,Lake Meridian P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/157/n0.html
1,100476,244,,3,Kenmore P&R to Overlake TC,http://metro.kingcounty.gov/schedules/244/n0.html
1,100481,775,,3,Seacrest Park to Admiral District to Alki,http://metro.kingcounty.gov/schedules/775/n0.html
1,100487,102,,3,Fairwood to Downtown Seattle,http://metro.kingcounty.gov/schedules/102/n0.html
1,100489,156,,3,Southcenter/Sea Tac/Des Moines/Highline Coll,http://metro.kingcounty.gov/schedules/156/n0.html
1,100493,224,,3,Duvall to Redmond TC,http://metro.kingcounty.gov/schedules/224/n0.html
1,100495,193,,3,Federal Way P&R to First Hill,http://metro.kingcounty.gov/schedules/193/n0.html
1,100496,930,,3,Kingsgate P&R to Redmond Town Center,http://metro.kingcounty.gov/schedules/930/n0.html
1,100508,823,,3,Newport High School to International School,http://metro.kingcounty.gov/schedules/823/n0.html
1,100509,824,,3,Newcastle Newport High School International School,http://metro.kingcounty.gov/schedules/824/n0.html
1,100512,A Line,A-Line Rapid Ride,3,Federal Way TC/Tukwila International Blvd Link Sta,http://metro.kingcounty.gov/travel-options/bus/rapidride/a-line/
1,102512,910,,3,North Auburn to SuperMall,http://metro.kingcounty.gov/schedules/910/n0.html
1,102548,B Line,B-Line Rapid Ride,3,B-Line Rapid Ride,http://metro.kingcounty.gov/travel-options/bus/rapidride/b-line/
1,102549,980,,3,Madison Valley to Lakeside School,http://metro.kingcounty.gov/schedules/980/n0.html
1,102552,226,,3,Eastgate P&R  Crossroads  Overlake to Bellevue TC,http://metro.kingcounty.gov/schedules/226/n0.html
1,102554,241,,3,Eastgate P&R to Bellevue TC,http://metro.kingcounty.gov/schedules/241/n0.html
1,102555,893,,3,Totem Lake TC to Lake Washington High School,http://metro.kingcounty.gov/schedules/893/n0.html
1,102557,915,,3,Enumclaw to Auburn Station,http://metro.kingcounty.gov/schedules/915/n0.html
1,102558,931,,3,UW /CCC Campus to Redmond TC,http://metro.kingcounty.gov/schedules/931/n0.html
1,102561,907,,3,Enumclaw to Renton TC,http://metro.kingcounty.gov/schedules/907/n0.html
1,102572,29,,3,Ballard to SPU to Queen Anne to Downtown Seattle,http://metro.kingcounty.gov/schedules/029/n0.html
1,102573,887,,3,Factoria to International School,http://metro.kingcounty.gov/schedules/887/n0.html
1,102574,40,,3,Northgate TC to Ballard to Fremont to Westlake to,http://metro.kingcounty.gov/schedules/040/n0.html
1,102576,C Line,C-Line Rapid Ride,3,Westwood Village to Fauntleroy Ferry to Alaska Jun,http://metro.kingcounty.gov/travel-options/bus/rapidride/c-line/
1,102581,D Line,D-Line Rapid Ride,3,Seattle Blue Ridge to Crown Hill to Ballard to Sea,http://metro.kingcounty.gov/travel-options/bus/rapidride/d-line/
1,102593,906,,3,Fairwood to Southcenter,http://metro.kingcounty.gov/schedules/906/n0.html
1,102615,E Line,E-Line Rapid Ride,3,Aurora Village to Downtown Seattle,http://metro.kingcounty.gov/travel-options/bus/rapidride/e-line/
1,102619,F Line,F-Line Rapid Ride,3,Burien/Tukwila Int'l Blvd Link Sta/Renton Landing,http://metro.kingcounty.gov/travel-options/bus/rapidride/f-line/
1,102623,894,,3,Mercer Island HS,http://metro.kingcounty.gov/schedules/894/n0.html
1,102628,895,,3,Overlake P&R to Lake Washington High School,http://metro.kingcounty.gov/schedules/895/n0.html
1,102633,628,,3,N Bend Issaquah Highlands,http://metro.kingcounty.gov/schedules/628/n0.html
1,102634,630,,3,Mercer Island First Hill Downtown,http://metro.kingcounty.gov/schedules/630/n0.html
1,102636,631,,3,Burien Community Shuttle,http://metro.kingcounty.gov/schedules/631/n0.html
1,102639,63,,3,Northgate TC to First Hill,http://metro.kingcounty.gov/schedules/063/n0.html
23,100340,Stcr SLU,,0,South Lake Union Streetcar,http://www.seattlestreetcar.org/slu.htm
23,102638,Stcr FHS,,0,First Hill Street Car,http://www.seattlestreetcar.org/slu.htm
40,100232,522,Woodinville - Seattle,3,ST 522 Woodinville-Seattle,http://www.soundtransit.org/Schedules/ST-Express-Bus/522
40,100235,540,Kirkland - University District,3,Kirkland University District,http://www.soundtransit.org/Schedules/ST-Express-Bus/540
