fare_id,route_id,origin_id,destination_id
101,100194,,
110,100194,,
102,100195,,
112,100195,,
101,100196,,
110,100196,,
101,100201,,
110,100201,,
102,100202,,
112,100202,,
102,100203,,
112,100203,,
102,100204,,
112,100204,,
102,100205,,
112,100205,,
102,100207,,
112,100207,,
101,100210,,
110,100210,,
101,100212,,
110,100212,,
102,100214,,
112,100214,,
102,100215,,
112,100215,,
101,100217,,
110,100217,,
101,100219,,
110,100219,,
101,100221,,
110,100221,,
101,100223,,
110,100223,,
101,100224,,
110,100224,,
101,100225,,
110,100225,,
101,100227,,
110,100227,,
101,100228,,
110,100228,,
102,100229,,
112,100229,,
101,100230,,
110,100230,,
501,100232,,
501,100235,,
501,100236,,
101,100238,,
110,100238,,
501,100239,,
501,100240,,
501,100241,,
101,100242,,
110,100242,,
101,100246,,
110,100246,,
101,100249,,
110,100249,,
102,100251,,
112,100251,,
101,100252,,
110,100252,,
101,100253,,
110,100253,,
101,100254,,
110,100254,,
102,100258,,
112,100258,,
101,100259,,
110,100259,,
101,100263,,
110,100263,,
101,100264,,
110,100264,,
101,100265,,
110,100265,,
101,100267,,
110,100267,,
101,100268,,
110,100268,,
101,100269,,
110,100269,,
101,100270,,
110,100270,,
102,100271,,
112,100271,,
100,100272,,
101,100273,,
110,100273,,
101,100275,,
110,100275,,
101,100277,,
110,100277,,
101,100278,,
110,100278,,
101,100279,,
110,100279,,
101,100284,,
110,100284,,
101,100285,,
110,100285,,
101,100287,,
110,100287,,
101,100288,,
110,100288,,
101,100289,,
110,100289,,
900,100290,,
900,100292,,
900,100293,,
900,100296,,
900,100297,,
900,100299,,
900,100300,,
301,100324,,
700,100336,,
701,100337,,
915,100340,,
305,100341,,
305,100343,,
305,100344,,
305,100345,,
305,100346,,
305,100347,,
101,100348,,
110,100348,,
305,100350,,
305,100351,,
101,100447,,
110,100447,,
101,100448,,
110,100448,,
501,100451,,
102,100459,,
112,100459,,
101,100469,,
110,100469,,
305,100473,,
102,100475,,
112,100475,,
101,100476,,
110,100476,,
902,100479,,
100,100481,,
102,100487,,
112,100487,,
101,100489,,
110,100489,,
101,100493,,
110,100493,,
102,100495,,
112,100495,,
900,100496,,
101,100508,,
110,100508,,
101,100509,,
110,100509,,
501,100511,,
101,100512,,
110,100512,,
900,102512,,
101,102548,,
110,102548,,
305,102549,,
101,102552,,
110,102552,,
101,102554,,
110,102554,,
101,102555,,
110,102555,,
900,102557,,
900,102558,,
900,102561,,
101,102572,,
110,102572,,
101,102573,,
110,102573,,
101,102574,,
110,102574,,
101,102576,,
110,102576,,
101,102581,,
110,102581,,
900,102593,,
102,102615,,
112,102615,,
101,102619,,
110,102619,,
101,102623,,
110,102623,,
101,102628,,
110,102628,,
900,102633,,
101,102634,,
110,102634,,
101,102636,,
110,102636,,
915,102638,,
101,102639,,
110,102639,,
501,102640,,
300,100272,1,1
915,100340,1,1
915,102638,1,1
101,,1,3
101,,1,5
101,,1,19
101,,1,20
101,,1,21
300,100272,1,21
915,100340,1,21
915,102638,1,21
101,,1,24
701,100337,1,39
101,,3,1
101,,3,3
101,,3,4
101,,3,5
101,,3,6
101,,3,8
101,,3,9
101,,3,14
101,,3,17
101,,3,18
101,,3,19
101,,3,20
101,,3,21
101,,3,22
101,,3,24
101,,3,26
101,,3,36
101,,3,39
101,,3,40
101,,4,3
101,,4,4
101,,4,5
101,,4,6
101,,4,8
101,,4,9
101,,4,14
101,,4,17
101,,4,18
101,,4,19
101,,4,20
101,,4,21
101,,4,22
101,,4,24
101,,4,26
101,,4,36
101,,4,39
101,,4,40
101,,5,3
101,,5,4
101,,5,5
101,,5,6
101,,5,8
101,,5,9
101,,5,14
101,,5,17
101,,5,18
101,,5,19
101,,5,20
101,,5,21
101,,5,22
101,,5,24
101,,5,26
101,,5,36
101,,5,39
101,,5,40
101,,6,3
101,,6,4
101,,6,5
101,,6,6
101,,6,8
101,,6,9
101,,6,14
101,,6,17
101,,6,18
101,,6,19
101,,6,20
101,,6,21
101,,6,22
101,,6,24
101,,6,26
101,,6,36
101,,6,39
101,,6,40
101,,8,3
101,,8,4
101,,8,5
101,,8,6
101,,8,8
101,,8,9
101,,8,14
101,,8,17
101,,8,18
101,,8,19
101,,8,20
101,,8,21
101,,8,22
101,,8,24
101,,8,26
101,,8,36
101,,8,39
101,,8,40
101,,9,3
101,,9,4
101,,9,5
101,,9,6
101,,9,8
101,,9,9
101,,9,14
101,,9,17
101,,9,18
101,,9,19
101,,9,20
101,,9,21
101,,9,22
101,,9,24
101,,9,26
101,,9,36
101,,9,39
101,,9,40
101,,14,3
101,,14,4
101,,14,5
101,,14,6
101,,14,8
101,,14,9
101,,14,14
102,,14,17
102,,14,18
102,,14,19
101,,14,20
101,,14,21
101,,14,22
102,,14,24
101,,14,26
102,,14,36
102,,14,39
102,,14,40
101,,17,3
101,,17,4
101,,17,5
101,,17,6
101,,17,8
101,,17,9
102,,17,14
101,,17,17
302,100324,17,17
101,,17,18
101,,17,19
302,100324,17,19
101,,17,20
102,,17,21
101,,17,22
101,,17,24
301,100324,17,24
101,,17,26
101,,17,36
101,,17,39
101,,17,40
101,,18,3
101,,18,4
101,,18,5
101,,18,6
101,,18,8
101,,18,9
102,,18,14
101,,18,17
101,,18,18
101,,18,19
101,,18,20
102,,18,21
101,,18,22
101,,18,24
101,,18,26
101,,18,36
101,,18,39
101,,18,40
101,,19,1
101,,19,3
101,,19,4
101,,19,5
101,,19,6
101,,19,8
101,,19,9
102,,19,14
101,,19,17
302,100324,19,17
101,,19,18
101,,19,19
302,100324,19,19
101,,19,20
102,,19,21
101,,19,22
101,,19,24
101,,19,26
101,,19,36
101,,19,39
101,,19,40
101,,20,1
101,,20,3
101,,20,4
101,,20,5
101,,20,6
101,,20,8
101,,20,9
101,,20,14
101,,20,17
101,,20,18
101,,20,19
101,,20,20
101,,20,21
101,,20,22
101,,20,24
101,,20,26
101,,20,36
101,,20,39
101,,20,40
101,,21,1
300,100272,21,1
915,100340,21,1
915,102638,21,1
101,,21,3
101,,21,4
101,,21,5
101,,21,6
101,,21,8
101,,21,9
101,,21,14
102,,21,17
102,,21,18
102,,21,19
101,,21,20
101,,21,21
300,100272,21,21
700,100336,21,21
915,100340,21,21
901,100479,21,21
915,102638,21,21
101,,21,22
102,,21,24
101,,21,26
102,,21,36
102,,21,39
102,,21,40
901,100479,21,72
101,,21,73
901,100479,21,73
101,,21,74
901,100479,21,74
902,100479,21,75
902,100479,21,76
902,100479,21,77
902,100479,21,78
904,100479,21,79
904,100479,21,80
101,,22,1
101,,22,3
101,,22,4
101,,22,5
101,,22,6
101,,22,8
101,,22,9
101,,22,14
101,,22,17
101,,22,18
101,,22,19
101,,22,20
101,,22,21
101,,22,22
101,,22,24
101,,22,26
101,,22,36
101,,22,39
101,,22,40
101,,24,1
101,,24,3
101,,24,4
101,,24,5
101,,24,6
101,,24,8
101,,24,9
102,,24,14
101,,24,17
301,100324,24,17
101,,24,18
101,,24,19
301,100324,24,19
101,,24,20
102,,24,21
101,,24,22
101,,24,24
301,100324,24,24
101,,24,26
101,,24,36
101,,24,39
101,,24,40
101,,24,79
101,,26,3
101,,26,4
101,,26,5
101,,26,6
101,,26,8
101,,26,9
101,,26,14
101,,26,17
101,,26,18
101,,26,19
101,,26,20
101,,26,21
101,,26,22
101,,26,24
101,,26,26
101,,26,36
101,,26,39
101,,26,40
101,,36,3
101,,36,4
101,,36,5
101,,36,6
101,,36,8
101,,36,9
102,,36,14
101,,36,17
101,,36,18
101,,36,19
101,,36,20
102,,36,21
101,,36,22
101,,36,24
101,,36,26
101,,36,36
101,,36,39
101,,36,40
701,100337,39,1
101,,39,3
101,,39,4
101,,39,5
101,,39,6
101,,39,8
101,,39,9
102,,39,14
101,,39,17
101,,39,18
101,,39,19
101,,39,20
102,,39,21
101,,39,22
101,,39,24
101,,39,26
101,,39,36
101,,39,39
101,,39,40
101,,40,3
101,,40,4
101,,40,5
101,,40,6
101,,40,8
101,,40,9
102,,40,14
101,,40,17
101,,40,18
101,,40,19
101,,40,20
102,,40,21
101,,40,22
101,,40,24
101,,40,26
101,,40,36
101,,40,39
101,,40,40
901,100479,72,21
901,100479,72,72
501,,72,73
901,100479,72,73
501,,72,74
901,100479,72,74
501,,72,75
901,100479,72,75
501,,72,76
901,100479,72,76
502,,72,77
902,100479,72,77
502,,72,78
902,100479,72,78
102,,72,79
903,100479,72,79
904,100479,72,80
101,,73,21
901,100479,73,21
501,,73,72
901,100479,73,72
901,100479,73,73
501,,73,74
901,100479,73,74
501,,73,75
901,100479,73,75
501,,73,76
901,100479,73,76
502,,73,77
902,100479,73,77
502,,73,78
902,100479,73,78
102,,73,79
903,100479,73,79
903,100479,73,80
101,,74,21
901,100479,74,21
501,,74,72
901,100479,74,72
501,,74,73
901,100479,74,73
901,100479,74,74
501,,74,75
901,100479,74,75
501,,74,76
901,100479,74,76
502,,74,77
902,100479,74,77
502,,74,78
902,100479,74,78
102,,74,79
903,100479,74,79
903,100479,74,80
902,100479,75,21
501,,75,72
901,100479,75,72
501,,75,73
901,100479,75,73
501,,75,74
901,100479,75,74
901,100479,75,75
501,,75,76
901,100479,75,76
501,,75,77
901,100479,75,77
502,,75,78
902,100479,75,78
102,,75,79
903,100479,75,79
903,100479,75,80
902,100479,76,21
501,,76,72
901,100479,76,72
501,,76,73
901,100479,76,73
501,,76,74
901,100479,76,74
501,,76,75
901,100479,76,75
901,100479,76,76
501,,76,77
901,100479,76,77
501,,76,78
901,100479,76,78
102,,76,79
902,100479,76,79
903,100479,76,80
902,100479,77,21
502,,77,72
902,100479,77,72
502,,77,73
902,100479,77,73
502,,77,74
902,100479,77,74
501,,77,75
901,100479,77,75
501,,77,76
901,100479,77,76
901,100479,77,77
501,,77,78
901,100479,77,78
102,,77,79
902,100479,77,79
903,100479,77,80
902,100479,78,21
502,,78,72
902,100479,78,72
502,,78,73
902,100479,78,73
502,,78,74
902,100479,78,74
502,,78,75
902,100479,78,75
501,,78,76
901,100479,78,76
501,,78,77
901,100479,78,77
901,100479,78,78
102,,78,79
902,100479,78,79
902,100479,78,80
904,100479,79,21
101,,79,24
102,,79,72
903,100479,79,72
102,,79,73
903,100479,79,73
102,,79,74
903,100479,79,74
102,,79,75
903,100479,79,75
102,,79,76
902,100479,79,76
102,,79,77
902,100479,79,77
102,,79,78
902,100479,79,78
901,100479,79,79
901,100479,79,80
904,100479,80,21
904,100479,80,72
903,100479,80,73
903,100479,80,74
903,100479,80,75
903,100479,80,76
903,100479,80,77
902,100479,80,78
901,100479,80,79
901,100479,80,80
