fare_id,fare_period_id,price,currency_type,payment_method,transfers,transfer_duration,youth_price,senior_price
100,1,0.0,USD,0,,5400,0.0,0.0
110,2,2.75,USD,0,,5400,1.5,1.0
102,1,2.5,USD,0,,5400,1.5,1.0
300,1,0.0,USD,0,0,0,0.0,0.0
101,1,2.5,USD,0,,5400,1.5,1.0
112,2,3.25,USD,0,,5400,1.5,1.0
302,1,3.75,USD,0,0,0,0.0,0.0
301,1,4.25,USD,0,0,0,0.0,0.0
700,1,4.75,USD,0,0,0,4.75,2.0
502,1,3.75,USD,0,0,0,2.75,1.75
501,1,2.75,USD,0,0,0,1.5,1.5
900,1,2.5,USD,0,,5400,1.5,1.0
305,1,4.75,USD,0,0,0,0.0,0.0
701,1,5.5,USD,0,0,0,5.5,2.5
902,1,2.5,USD,1,0,0,1.5,1.0
901,1,2.25,USD,1,0,0,1.5,1.0
904,1,3.0,USD,1,0,0,1.5,1.0
915,1,2.25,USD,1,0,0,2.25,1.5
903,1,2.75,USD,1,0,0,1.5,1.0
