stop_id,stop_name,stop_lat,stop_lon,stop_code
530,MADISON and HIGHLAND,47.936295,-122.213493,4140
531,MADISON ST & BERKSHIRE DR - WB,47.936268,-122.217430,4148
532,MADISON and CADY,47.936401,-122.222633,3536
533,MADISON ST & BEVERLY LANE - WB,47.936474,-122.225853,3538
534,BROOKRIDGE and 1ST  PLACE,47.942631,-122.230827,3490
535,BROOKRIDGE and 1ST,47.945110,-122.233078,3380
536,BROOKRIDGE BLVD & 1ST DR W - WB,47.944592,-122.235641,3390
537,BROOKRIDGE BLVD & 4TH DR W - WB,47.944523,-122.239235,3400
538,MERRILL CREEK PARKWAY & GLENWOOD - WB,47.944183,-122.243668,3415
539,MERRILL CREEK PARKWAY & 13TH AVE W - WB,47.943523,-122.251816,3425
54,AIRPORT RD & ADMIRALTY WAY - EB,47.883923,-122.253929,1299
540,HARDESON and MERRILL CREEK,47.942211,-122.255882,3440
541,HARDESON ROAD & 64TH ST SW - SB,47.939804,-122.254387,3660
542,HARDESON and 70TH,47.936867,-122.252457,3665
543,HARDESON and 71ST,47.934769,-122.251083,3668
544,HARDESON and 72ND,47.933750,-122.250427,3670
545,HARDESON ROAD & 75TH ST SW - SB,47.929981,-122.247902,3675
546,HARDESON RD & 77TH - SB,47.927887,-122.243233,3710
547,HARDESON RD & 80TH ST SW - SB,47.925140,-122.240776,3715
548,EVERGREEN and OLIVIA PARK,47.903507,-122.245445,5195
549,EVERGREEN and  108TH,47.900677,-122.248108,5200
55,AIRPORT RD & E GIBSON RD - EB,47.881786,-122.249702,168
550,EVERGREEN and 110TH,47.898159,-122.250504,5205
551,EVERGREEN and 112TH,47.895325,-122.253098,5210
552,EVERGREEN and 116TH,47.892780,-122.255669,5310
553,AIRPORT and EVERGREEN,47.890163,-122.258759,5288
554,112TH ST SW & AIRPORT RD - EB,47.896416,-122.262329,5217
555,112TH ST SW & 17TH CT SW - EB,47.896370,-122.255844,5213
556,EVERGREEN CENTER & 112TH ST SW - NB,47.894665,-122.256813,5300
557,EVERGREEN WAY & 112TH ST SW - NB,47.897388,-122.250786,6295
558,HARDESON RD & UPPER RIDGE RD - NB,47.924438,-122.240356,3720
559,HARDESON RD & 77TH - NB,47.928051,-122.243332,3705
56,128TH ST SW & 8TH AVE W - EB,47.881817,-122.243660,167
560,HARDESON RD & VERALENE WAY - NB,47.929424,-122.246780,3484
561,HARDESON ROAD & 75TH ST SW - NB,47.931515,-122.249123,3673
562,HARDESON and 71ST,47.934662,-122.250839,3667
563,HARDESON RD & SHUKSAN WAY - NB,47.935925,-122.251671,3479
564,HARDESON ROAD & 65TH ST SW - NB,47.938992,-122.253693,3664
565,HARDESON ROAD & MERRILL CREEK PARKWAY - NB,47.941799,-122.255470,3663
566,MERRILL CREEK PARKWAY & HARDESON RD - WB,47.942623,-122.256630,3442
567,MERRILL CREEK PKWAY & 20TH AVE W - WB,47.941414,-122.259666,3443
568,MERRILL CREEK PARKWAY & 23RD AVE W - WB,47.941120,-122.264244,3447
569,MERRILL CREEK and 64TH,47.941044,-122.266434,3446
57,MARINER PARK AND RIDE - Bay 4,47.879951,-122.238518,2106
570,MERRILL CREEK and SEAWAY,47.938816,-122.267845,3457
571,SEAWAY BLVD & MERRILL CREEK PKWY - SB,47.936970,-122.264427,3483
572,SEAWAY BLVD & FLUKE DR - SB,47.934326,-122.261436,3486
573,75TH ST SW & SEAWAY BLVD - EB,47.930801,-122.260010,3473
574,75TH ST SW & 16TH AVE W - EB,47.929573,-122.254890,3677
575,MERRILL CREEK PARKWAY & HARDESON ROAD - EB,47.942772,-122.255516,3430
576,MERRILL CREEK PARKWAY & 13TH AVE W - EB,47.943493,-122.250542,3420
577,MERRILL CREEK PARKWAY & GLENWOOD - EB,47.943913,-122.244034,3410
578,BROOKRIDGE BLVD & SEAHURST AVE - EB,47.944443,-122.240379,3405
579,BROOKRIDGE BLVD & 3RD DR W - EB,47.944069,-122.237823,3395
58,4TH and 124TH,47.886097,-122.238693,6288
580,BROOKRIDGE BLVD & 60TH PL SE - EB,47.944592,-122.235428,3385
581,BROOKRIDGE and 59TH,47.944462,-122.231522,3383
582,BROOKRIDGE BLVD & 1ST DR SE - EB,47.941925,-122.229568,3495
583,MADISON and MORGAN,47.936317,-122.224342,3537
584,MADISON ST & RAINIER DR - EB,47.936111,-122.217949,4150
585,MADISON ST & OLYMPIC DR - EB,47.936176,-122.214363,4145
586,MADISON ST & BEVERLY BLVD - EB,47.936214,-122.210075,4125
587,MADISON ST & COMMERCIAL AVE - EB,47.936211,-122.205971,4160
588,MADISON ST & JEFFERSON AVE - EB,47.936199,-122.203300,4170
589,BROADWAY & 45TH ST SE - NB,47.956657,-122.200508,4007
59,4TH AVE W & 120TH ST SW - NB,47.889709,-122.238716,6284
590,BROADWAY & 38TH ST - NB,47.967754,-122.200974,2364
591,BROADWAY & 36TH ST - NB,47.970451,-122.201111,1552
592,BROADWAY & 34th ST - NB,47.972576,-122.201202,2365
593,75TH ST SW & 16TH AVE W - WB,47.929714,-122.255386,3676
594,75TH ST SW & SEAWAY BLVD - WB,47.930992,-122.260078,3680
595,SEAWAY and FLUKE,47.935009,-122.261711,3485
596,SEAWAY BLVD & 24TH AVE W - WB,47.937157,-122.265282,3480
597,MERRILL CREEK and SEAWAY,47.937729,-122.267685,3475
598,MERRILL CREEK PARKWAY & 64TH ST - EB,47.939468,-122.267662,3455
599,MERRILL CREEK PARKWAY & 23RD DR W - EB,47.940987,-122.263748,3450
6,SE EVERETT MALL WAY & 1ST DRIVE - WB,47.907383,-122.232086,6235
60,4TH and 116TH,47.891907,-122.238731,6282
600,MERRILL CREEK PARKWAY & 20TH AVE W - EB,47.941086,-122.260590,3445
61,112TH ST SW & 4TH AVE W - EB,47.896408,-122.237808,6291
62,112TH ST SE & 1ST AVE SE - EB,47.896404,-122.233002,6293
63,3RD AVE SE & 112TH ST SW - NB,47.897064,-122.228004,6279
64,3RD AVE SE & 106TH ST SE - NB,47.901787,-122.228035,6275
65,3RD and 102ND,47.904522,-122.228111,6273
66,EVERETT MALL and 3RD,47.908295,-122.227669,6225
67,COLLEGE STATION - BAY C,48.005245,-122.200294,1053
68,N BROADWAY & 7TH ST - NB,48.008369,-122.193901,2010
69,E MARINE VIEW DRIVE & BELMONTE LN - SB,48.009403,-122.189331,2000
7,SW EVERETT MALL WAY & 1ST PL W - WB,47.906582,-122.235001,6240
70,E MARINE VIEW DRIVE & HAWTHORNE ST - SB,48.005856,-122.189018,2015
71,E MARINE VIEW DR & 10TH ST  - SB,48.004234,-122.189056,2017
72,E MARINE VIEW DRIVE & 12TH ST - SB,48.001354,-122.189133,2070
73,WALNUT and 15TH,47.997681,-122.189201,2115
74,WALNUT  and 17TH,47.994690,-122.189278,2130
75,WALNUT   and 19TH,47.991959,-122.189354,2150
76,WALNUT   and LEONARD,47.990280,-122.189392,2155
77,WALNUT   and 22ND,47.987923,-122.189461,2165
78,23RD ST & STATE ST- EB,47.986927,-122.186836,2180
79,23RD ST & SUMMIT AVE - EB,47.986904,-122.183952,2195
8,SW EVERETT MALL WAY & 4TH AVE W - WB,47.905804,-122.237938,6244
80,HARRISON and 25TH,47.984386,-122.182503,2210
81,HARRISON and EVERETT,47.981895,-122.182556,2305
82,EVERETT and SUMMIT,47.981789,-122.184265,2300
83,MAPLE and EVERETT,47.981247,-122.191078,2282
84,MAPLE ST & PACIFIC AVE - SB,47.977615,-122.191200,2315
85,PACIFIC AVE & CEDAR ST - WB,47.976833,-122.193153,2331
86,PACIFIC AVE & FULTON ST - WB,47.976845,-122.194786,2325
87,EVERETT STATION - F 1,47.974426,-122.197998,2340
88,33RD and MCDOUGALL,47.974121,-122.199783,2323
89,PACIFIC AVE at LOMBARD AVE,47.976742,-122.202682,1457
9,EVERGREEN WAY & SW EVERETT MALL WAY - NB,47.904903,-122.243767,6265
90,PACIFIC AVE at ROCKEFELLER AVE - WB,47.976673,-122.205536,2356
91,WALL ST & HOYT AVE - WB,47.977894,-122.209503,1383
92,WALL ST & GRAND AVE - WB,47.977814,-122.213516,1373
93,PACIFIC AVE & NASSAU ST - EB,47.976410,-122.216103,1395
94,PACIFIC AVE & COLBY  AVE - EB,47.976482,-122.209152,1413
95,WETMORE AVE & WALL ST - NB,47.977322,-122.207115,2466
96,WETMORE AVE & HEWITT AVE - NB,47.978912,-122.207161,1360
97,WETMORE AVE & EVERETT AVE - NB,47.981300,-122.207146,1295
98,COLBY AVE & 26TH ST - NB,47.983418,-122.208481,1270
99,COLBY and 24TH,47.985405,-122.208412,1250
