route_id,trip_id,service_id,trip_headsign,direction_id,block_id
865,30000A727B1138,727A1138,Hospital,0,
865,30001A727B1138,727A1138,Hospital,0,
865,30002A727B1138,727A1138,Hospital,0,
865,30003A727B1138,727A1138,Hospital,0,
865,30004A727B1138,727A1138,Hospital,0,
865,30005A727B1138,727A1138,Hospital,0,
865,30006A727B1138,727A1138,Hospital,0,
865,30007A727B1138,727A1138,Hospital,0,
865,30008A727B1138,727A1138,Hospital,0,
865,30009A727B1138,727A1138,Hospital,0,
865,30010A727B1138,727A1138,Hospital,0,
865,30011A727B1138,727A1138,Hospital,0,
865,30012A727B1138,727A1138,Hospital,0,
865,30013A727B1138,727A1138,Hospital,0,
865,30014A727B1138,727A1138,Hospital,0,
865,30015A727B1138,727A1138,Hospital,0,
865,30016A727B1138,727A1138,Hospital,0,
865,30017A727B1138,727A1138,Hospital,0,
865,30018A727B1138,727A1138,Hospital,0,
865,30019A727B1138,727A1138,Hospital,0,
865,30020A727B1138,727A1138,Hospital,0,
865,30021A727B1138,727A1138,Hospital,0,
865,30022A727B1138,727A1138,Hospital,0,
865,30023A727B1138,727A1138,Hospital,0,
865,30024A727B1138,727A1138,Hospital,0,
865,30025A727B1138,727A1138,Hospital,0,
865,30026A727B1138,727A1138,Hospital,0,
865,30027A727B1138,727A1138,Hospital,0,
865,30028A727B1138,727A1138,Hospital,0,
865,30029A727B1138,727A1138,Hospital,0,
865,30030A727B1138,727A1138,Hospital,0,
865,30031A727B1138,727A1138,Hospital,0,
865,30032A727B1138,727A1138,Hospital,0,
865,30033A727B1138,727A1138,Hospital,0,
865,30034A727B1138,727A1138,Hospital,0,
865,30035A727B1138,727A1138,Hospital,0,
865,30036A727B1138,727A1138,Hospital,0,
865,30037A727B1138,727A1138,Hospital,0,
865,30038A727B1138,727A1138,Hospital,0,
865,30039A727B1138,727A1138,Hospital,0,
865,30040A727B1138,727A1138,Hospital,0,
865,30041A727B1138,727A1138,Hospital,0,
865,30042A727B1138,727A1138,Hospital,0,
865,30043A727B1138,727A1138,Hospital,0,
865,30044A727B1138,727A1138,Hospital,0,
865,30045A727B1138,727A1138,Hospital,0,
865,30046A727B1138,727A1138,Hospital,0,
865,30047A727B1138,727A1138,Hospital,0,
865,30048A727B1138,727A1138,Hospital,0,
865,30049A727B1138,727A1138,Hospital,0,
865,30050A727B1138,727A1138,Hospital,0,
865,30051A727B1138,727A1138,Hospital,0,
865,30052A727B1138,727A1138,Hospital,0,
865,30053A727B1138,727A1138,Hospital,0,
865,30054A727B1138,727A1138,Hospital,0,
865,30055A727B1138,727A1138,Hospital,0,
865,30056A727B1138,727A1138,Hospital,0,
865,30057A727B1138,727A1138,Hospital,0,
865,30058A727B1138,727A1138,Hospital,0,
865,30059A727B1138,727A1138,Hospital,0,
