trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign
30000A727B1138,755006,05:50:00,05:50:00,1,
30000A727B1138,755000,05:56:00,05:56:00,2,
30001A727B1138,755006,06:01:00,06:01:00,1,
30001A727B1138,755000,06:07:00,06:07:00,2,
30002A727B1138,755006,06:13:00,06:13:00,1,
30002A727B1138,755000,06:19:00,06:19:00,2,
30003A727B1138,755006,06:20:00,06:20:00,1,
30003A727B1138,755000,06:26:00,06:26:00,2,
30004A727B1138,755006,06:27:00,06:27:00,1,
30004A727B1138,755000,06:33:00,06:33:00,2,
30005A727B1138,755006,06:34:00,06:34:00,1,
30005A727B1138,755000,06:40:00,06:40:00,2,
30006A727B1138,755006,06:41:00,06:41:00,1,
30006A727B1138,755000,06:47:00,06:47:00,2,
30007A727B1138,755006,06:48:00,06:48:00,1,
30007A727B1138,755000,06:54:00,06:54:00,2,
30008A727B1138,755006,06:55:00,06:55:00,1,
30008A727B1138,755000,07:01:00,07:01:00,2,
30009A727B1138,755006,07:02:00,07:02:00,1,
30009A727B1138,755000,07:08:00,07:08:00,2,
30010A727B1138,755006,07:09:00,07:09:00,1,
30010A727B1138,755000,07:15:00,07:15:00,2,
30011A727B1138,755006,07:16:00,07:16:00,1,
30011A727B1138,755000,07:22:00,07:22:00,2,
30012A727B1138,755006,07:23:00,07:23:00,1,
30012A727B1138,755000,07:29:00,07:29:00,2,
30013A727B1138,755006,07:30:00,07:30:00,1,
30013A727B1138,755000,07:36:00,07:36:00,2,
30014A727B1138,755006,07:37:00,07:37:00,1,
30014A727B1138,755000,07:43:00,07:43:00,2,
30015A727B1138,755006,07:44:00,07:44:00,1,
30015A727B1138,755000,07:50:00,07:50:00,2,
30016A727B1138,755006,07:54:00,07:54:00,1,
30016A727B1138,755000,08:00:00,08:00:00,2,
30017A727B1138,755006,08:01:00,08:01:00,1,
30017A727B1138,755000,08:07:00,08:07:00,2,
30018A727B1138,755006,08:08:00,08:08:00,1,
30018A727B1138,755000,08:14:00,08:14:00,2,
30019A727B1138,755006,08:15:00,08:15:00,1,
30019A727B1138,755000,08:21:00,08:21:00,2,
30020A727B1138,755006,08:22:00,08:22:00,1,
30020A727B1138,755000,08:28:00,08:28:00,2,
30021A727B1138,755006,08:29:00,08:29:00,1,
30021A727B1138,755000,08:35:00,08:35:00,2,
