shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
16MAR-1004116,10001,47.243482,-122.525911
16MAR-1004116,10002,47.242990,-122.525883
16MAR-1004116,10003,47.242994,-122.525465
16MAR-1004116,10004,47.243803,-122.525493
16MAR-1004116,10005,47.243797,-122.525929
16MAR-1004116,10006,47.243792,-122.526325
16MAR-1004116,10007,47.245034,-122.526325
16MAR-1004116,10008,47.246054,-122.526325
16MAR-1004116,10009,47.246714,-122.526325
16MAR-1004116,10010,47.247164,-122.526315
16MAR-1004116,10011,47.247744,-122.526305
16MAR-1004116,10012,47.248202,-122.526305
16MAR-1004116,20001,47.248202,-122.526305
16MAR-1004116,20002,47.248614,-122.526305
16MAR-1004116,20003,47.249574,-122.526305
16MAR-1004116,20004,47.249904,-122.526305
16MAR-1004116,20005,47.250250,-122.526311
16MAR-1004116,30001,47.250250,-122.526311
16MAR-1004116,30002,47.251754,-122.526335
16MAR-1004116,30003,47.251993,-122.526343
16MAR-1004116,40001,47.251993,-122.526343
16MAR-1004116,40002,47.253544,-122.526395
16MAR-1004116,40003,47.255484,-122.526375
16MAR-1004116,40004,47.255484,-122.527215
16MAR-1004116,40005,47.255491,-122.528140
16MAR-1004116,50001,47.255491,-122.528140
16MAR-1004116,50002,47.255494,-122.528585
16MAR-1004116,50003,47.255504,-122.529945
16MAR-1004116,50004,47.255504,-122.531315
16MAR-1004116,50005,47.255504,-122.531695
16MAR-1004116,50006,47.255504,-122.532376
16MAR-1004116,60001,47.255504,-122.532376
16MAR-1004116,60002,47.255504,-122.532635
16MAR-1004116,60003,47.255504,-122.532695
16MAR-1004116,60004,47.255524,-122.533865
16MAR-1004116,60005,47.255524,-122.534075
16MAR-1004116,60006,47.255524,-122.534335
16MAR-1004116,60007,47.255548,-122.536429
16MAR-1004116,70001,47.255548,-122.536429
16MAR-1004116,70002,47.255554,-122.536965
16MAR-1004116,70003,47.257124,-122.537005
16MAR-1004116,70004,47.257514,-122.537025
16MAR-1004116,70005,47.257764,-122.537045
16MAR-1004116,70006,47.258084,-122.537065
16MAR-1004116,70007,47.258674,-122.537105
16MAR-1004116,70008,47.258884,-122.537125
16MAR-1004116,70009,47.259704,-122.537125
16MAR-1004116,70010,47.259714,-122.536725
16MAR-1004116,70011,47.259734,-122.536305
16MAR-1004116,70012,47.259714,-122.536035
16MAR-1004116,70013,47.259684,-122.535615
16MAR-1004116,70014,47.259664,-122.535405
16MAR-1004116,70015,47.259644,-122.535315
16MAR-1004116,70016,47.259604,-122.535215
16MAR-1004116,70017,47.259544,-122.535125
16MAR-1004116,70018,47.259474,-122.535035
16MAR-1004116,70019,47.259404,-122.534985
16MAR-1004116,70020,47.259324,-122.534955
16MAR-1004116,70021,47.259184,-122.534955
16MAR-1004116,70022,47.259104,-122.534985
16MAR-1004116,70023,47.259044,-122.535025
16MAR-1004116,70024,47.258954,-122.535145
16MAR-1004116,70025,47.258914,-122.535235
16MAR-1004116,70026,47.258864,-122.535355
16MAR-1004116,70027,47.258844,-122.535505
16MAR-1004116,70028,47.258844,-122.535715
16MAR-1004116,70029,47.258864,-122.536275
16MAR-1004116,70030,47.258884,-122.536505
16MAR-1004116,70031,47.258924,-122.536765
16MAR-1004116,70032,47.258984,-122.537125
16MAR-1004116,70033,47.259044,-122.537475
16MAR-1004116,70034,47.259104,-122.537805
16MAR-1004116,70035,47.259164,-122.538065
16MAR-1004116,70036,47.259264,-122.538475
16MAR-1004116,70037,47.259474,-122.538945
16MAR-1004116,70038,47.259724,-122.539445
16MAR-1004116,70039,47.260044,-122.539925
16MAR-1004116,70040,47.260454,-122.540495
16MAR-1004116,70041,47.261374,-122.541615
16MAR-1004116,70042,47.261884,-122.542205
16MAR-1004116,70043,47.262374,-122.542815
16MAR-1004116,70044,47.262694,-122.543235
16MAR-1004116,70045,47.262904,-122.543515
16MAR-1004116,70046,47.263124,-122.543795
16MAR-1004116,70047,47.263964,-122.544825
16MAR-1004116,70048,47.264194,-122.545115
16MAR-1004116,70049,47.273494,-122.556745
16MAR-1004116,70050,47.274694,-122.558245
16MAR-1004116,70051,47.275204,-122.558875
16MAR-1004116,70052,47.275424,-122.559105
16MAR-1004116,70053,47.275724,-122.559405
16MAR-1004116,70054,47.276074,-122.559695
16MAR-1004116,70055,47.276344,-122.559915
16MAR-1004116,70056,47.276634,-122.560085
16MAR-1004116,70057,47.276914,-122.560235
16MAR-1004116,70058,47.277154,-122.560335
16MAR-1004116,70059,47.277384,-122.560415
16MAR-1004116,70060,47.277804,-122.560515
16MAR-1004116,70061,47.278144,-122.560575
16MAR-1004116,70062,47.278474,-122.560585
16MAR-1004116,70063,47.278974,-122.560565
16MAR-1004116,70064,47.279834,-122.560555
16MAR-1004116,70065,47.280354,-122.560535
16MAR-1004116,70066,47.283664,-122.560435
16MAR-1004116,70067,47.284864,-122.560405
16MAR-1004116,70068,47.285314,-122.560405
16MAR-1004116,70069,47.285694,-122.560425
16MAR-1004116,70070,47.285944,-122.560455
16MAR-1004116,70071,47.286224,-122.560495
16MAR-1004116,70072,47.286524,-122.560555
16MAR-1004116,70073,47.286774,-122.560625
16MAR-1004116,70074,47.287074,-122.560725
16MAR-1004116,70075,47.287424,-122.560875
16MAR-1004116,70076,47.287754,-122.561035
16MAR-1004116,70077,47.288034,-122.561195
16MAR-1004116,70078,47.288254,-122.561335
16MAR-1004116,70079,47.288604,-122.561575
16MAR-1004116,70080,47.288994,-122.561885
16MAR-1004116,70081,47.291294,-122.563925
16MAR-1004116,70082,47.294324,-122.566615
16MAR-1004116,70083,47.295594,-122.567735
16MAR-1004116,70084,47.296674,-122.568695
16MAR-1004116,70085,47.297644,-122.569555
16MAR-1004116,70086,47.297954,-122.569825
16MAR-1004116,70087,47.300714,-122.572245
16MAR-1004116,70088,47.301094,-122.572585
16MAR-1004116,70089,47.302074,-122.573455
16MAR-1004116,70090,47.302684,-122.573875
16MAR-1004116,70091,47.303164,-122.574245
16MAR-1004116,70092,47.303494,-122.574485
16MAR-1004116,70093,47.303654,-122.574585
16MAR-1004116,70094,47.303824,-122.574685
16MAR-1004116,70095,47.303984,-122.574745
16MAR-1004116,70096,47.304274,-122.574845
16MAR-1004116,70097,47.304564,-122.574935
16MAR-1004116,70098,47.304704,-122.574985
