Vehicle_Id,Timestamp,Trip_Id,Route_Id,Latitude,Longitude
258,1459807691,[],[],47.192806,-122.2956
181,1459830056,[],[],47.170204,-122.46976
187,1459832593,6298346,3,47.17312,-122.51564
324,1459828123,[],[],47.176804,-122.48392
310,1459730777,[],[],47.168884,-122.49076
506,1459823508,[],[],47.17265,-122.48388
217,1459827075,[],[],47.163822,-122.48188
513,1459829171,[],[],47.166546,-122.50772
244,1459828950,[],[],47.166573,-122.50892
222,1459653757,[],[],47.170204,-122.47332
5819,1459819019,[],[],47.15846,-122.4532
325,1459563392,[],[],47.166462,-122.4836
259,1459832641,6299635,2,47.25402,-122.43968
512,1459824631,[],[],47.170258,-122.4834
229,1459824798,[],[],47.170204,-122.4658
231,1459817328,[],[],47.166573,-122.49444
511,1459821824,[],[],47.20631,-122.47232
171,1459832600,6299697,3,47.2546,-122.4448
235,1459823466,[],[],47.170258,-122.48392
5818,1459784823,[],[],47.167095,-122.47608
507,1459823807,[],[],47.17023,-122.46976
245,1459820204,[],[],47.23161,-122.4408
172,1459817466,[],[],47.17023,-122.48072
311,1459639704,[],[],47.1666,-122.50728
242,1459827188,[],[],47.170258,-122.4848
213,1459829517,[],[],47.16773,-122.48364
197,1459826115,[],[],47.163906,-122.48164
317,1459799897,[],[],47.170094,-122.48968
307,1459785062,[],[],47.164345,-122.48352
179,1459830537,[],[],47.17037,-122.48552
196,1459824197,[],[],47.170067,-122.48372
180,1459822729,[],[],47.170204,-122.46856
210,1459826477,[],[],47.166573,-122.50244
8056,1459560820,[],[],47.172264,-122.42104
205,1459819839,[],[],47.1666,-122.49348
326,1459821938,[],[],47.170067,-122.48372
519,1459820621,[],[],47.170258,-122.48124
504,1459822336,[],[],47.170258,-122.47824
214,1459820910,[],[],47.220913,-122.4636
5814,1459818457,[],[],47.161156,-122.35728
237,1459828541,[],[],47.16569,-122.48352
178,1459817409,[],[],47.164234,-122.4812
200,1459823277,[],[],47.175896,-122.48392
219,1459715296,[],[],47.19267,-122.40788
176,1459820023,[],[],47.229244,-122.46268
320,1459818767,[],[],47.16388,-122.48164
184,1459828213,[],[],47.166683,-122.49312
309,1459824993,[],[],47.16388,-122.48216
238,1459821159,[],[],47.166573,-122.4938
170,1459825935,[],[],47.16374,-122.48172
211,1459819789,[],[],47.17653,-122.48432
195,1459825821,[],[],47.1688,-122.49076
224,1459821967,[],[],47.202293,-122.4838
518,1459830099,[],[],47.170204,-122.47868
5816,1459822153,[],[],47.190662,-122.50884
305,1459821650,[],[],47.19374,-122.46256
183,1459829838,[],[],47.16635,-122.48356
251,1459819852,[],[],47.167892,-122.49076
503,1459819884,[],[],47.15849,-122.36556
255,1459829836,[],[],47.17023,-122.4826
249,1459832482,[],[],47.246956,-122.43704
510,1459830022,[],[],47.16495,-122.48352
241,1459545177,[],[],47.255013,-122.43916
212,1459818697,[],[],47.17595,-122.48392
175,1459822364,[],[],47.166958,-122.49232
5815,1459822049,[],[],47.158184,-122.35648
239,1459823368,[],[],47.169514,-122.49076
517,1459825431,[],[],47.181175,-122.47948
194,1459819369,[],[],47.176804,-122.48396
314,1459821753,[],[],47.236534,-122.4374
243,1459820153,[],[],47.167343,-122.49072
8057,1459819251,[],[],47.170258,-122.47612
321,1459535532,[],[],47.20631,-122.40876
182,1459826041,[],[],47.169846,-122.48372
167,1459733494,[],[],47.17642,-122.48672
207,1459827417,[],[],47.176144,-122.48392
202,1459812713,[],[],47.254406,-122.43988
252,1459826475,[],[],47.166573,-122.50508
502,1459824529,[],[],47.170204,-122.47376
189,1459801824,[],[],47.07453,-122.4178
190,1459820846,[],[],47.181065,-122.48396
220,1459561712,[],[],47.1669,-122.50756
177,1459826047,[],[],47.166546,-122.4942
225,1459820158,[],[],47.166573,-122.49352
186,1459565296,[],[],47.170284,-122.48344
256,1459822941,[],[],47.169376,-122.49076
516,1459832613,6299658,500,47.241646,-122.39088
216,1459830244,[],[],47.17309,-122.48384
315,1459826988,[],[],47.176445,-122.48992
208,1459826496,[],[],47.170204,-122.4582
515,1459818528,[],[],47.170094,-122.4872
8059,1459823984,[],[],47.176556,-122.48404
192,1459827842,[],[],47.170204,-122.46224
501,1459731390,[],[],47.170284,-122.48344
247,1459829619,[],[],47.165886,-122.48356
230,1459819789,[],[],47.21797,-122.4634
329,1459820328,[],[],47.18665,-122.45264
173,1459823631,[],[],47.170258,-122.48332
253,1459477636,[],[],47.165554,-122.48356
169,1459826549,[],[],47.16767,-122.48364
312,1459822504,[],[],47.170284,-122.48324
246,1459828637,[],[],47.166546,-122.50164
