Vehicle_Id,Timestamp,Trip_Id,Route_Id,Latitude,Longitude
7222,1459730652,30899078,100136,47.644783,-122.132286
6029,1459730651,30897417,102548,47.67542,-122.14329
6845,1459524065,[],[],47.612946,-122.33672
2323,1459557688,[],[],47.50482,-122.365776
2470,1459561422,[],[],47.30145,-122.3609
7239,1459730696,30899110,100136,47.676517,-122.203445
2708,1459522907,[],[],47.60079,-122.33027
3646,1459730576,30904274,100169,47.654144,-122.35268
2800,1459730539,30941945,100447,47.61171,-122.336395
2630,1459668849,[],[],47.724472,-122.35555
3665,1459581126,[],[],47.703167,-122.32631
7020,1459572810,[],[],47.479755,-122.21752
1156,1459650449,[],[],47.586334,-122.1912
6864,1459554747,[],[],47.48065,-122.208534
7217,1459578127,[],[],47.58239,-122.14287
3738,1459730696,30772268,100196,47.77416,-122.34672
6945,1459561541,[],[],47.774162,-122.34493
2889,1459730671,30903866,100252,47.66523,-122.33372
2468,1459659150,[],[],47.601254,-122.33156
3681,1459528298,[],[],47.655037,-122.31095
3679,1459673088,[],[],47.708538,-122.32327
7115,1459581870,[],[],47.27562,-122.22311
7068,1459730693,30940906,100210,47.53779,-122.28829
2688,1459730510,30772419,100221,47.722977,-122.29084
4166,1459556741,[],[],47.599194,-122.32743
3624,1459730437,30904211,100151,47.663254,-122.32508
3708,1459730657,29664253,100042,47.461838,-122.20165
6109,1459635885,[],[],47.58806,-122.338425
4327,1459560445,[],[],47.606133,-122.33449
6000,1459730592,29664660,100512,47.46392,-122.28784
7144,1459564628,[],[],47.469994,-122.33744
1113,1459563543,[],[],47.532974,-122.227
4372,1459544480,[],[],47.599693,-122.32898
6879,1459663252,[],[],47.597622,-122.32811
3703,1459729650,[],[],47.753185,-122.152725
4323,1459586688,[],[],47.6066,-122.334915
3530,1459566167,[],[],47.586643,-122.19132
3694,1459621807,[],[],47.71867,-122.29559
2765,1459730692,30909075,100101,47.521038,-122.369606
6917,1459729771,[],[],47.597633,-122.32811
2383,1459561641,[],[],47.757175,-122.2706
6970,1459556648,[],[],47.580414,-122.15334
6047,1459729877,[],[],47.60554,-122.33395
7151,1459475417,[],[],47.315117,-122.3017
6116,1459730659,30909339,102581,47.62146,-122.35543
