shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
SNDR_EV_NB_shp,1,47.597696,-122.329397
SNDR_EV_NB_shp,2,47.600131,-122.329260
SNDR_EV_NB_shp,3,47.600632,-122.329192
SNDR_EV_NB_shp,4,47.600632,-122.329192
SNDR_EV_NB_shp,5,47.602093,-122.329363
SNDR_EV_NB_shp,6,47.606699,-122.333676
SNDR_EV_NB_shp,7,47.609746,-122.344143
SNDR_EV_NB_shp,8,47.613155,-122.351348
SNDR_EV_NB_shp,9,47.616201,-122.356395
SNDR_EV_NB_shp,10,47.632516,-122.377580
SNDR_EV_NB_shp,11,47.634361,-122.379894
SNDR_EV_NB_shp,12,47.635518,-122.380536
SNDR_EV_NB_shp,13,47.650276,-122.380869
SNDR_EV_NB_shp,14,47.652092,-122.381727
SNDR_EV_NB_shp,15,47.654444,-122.384091
SNDR_EV_NB_shp,16,47.660832,-122.391912
SNDR_EV_NB_shp,17,47.663809,-122.400047
SNDR_EV_NB_shp,18,47.664647,-122.401278
SNDR_EV_NB_shp,19,47.668949,-122.402400
SNDR_EV_NB_shp,20,47.672880,-122.405075
SNDR_EV_NB_shp,21,47.675868,-122.405378
SNDR_EV_NB_shp,22,47.678395,-122.404945
SNDR_EV_NB_shp,23,47.684153,-122.402281
SNDR_EV_NB_shp,24,47.689557,-122.402012
SNDR_EV_NB_shp,25,47.694623,-122.403812
SNDR_EV_NB_shp,26,47.696328,-122.403408
SNDR_EV_NB_shp,27,47.698535,-122.400340
SNDR_EV_NB_shp,28,47.703426,-122.387362
SNDR_EV_NB_shp,29,47.707905,-122.380884
SNDR_EV_NB_shp,30,47.712281,-122.379380
SNDR_EV_NB_shp,31,47.717163,-122.375889
SNDR_EV_NB_shp,32,47.722060,-122.375952
SNDR_EV_NB_shp,33,47.727282,-122.373209
SNDR_EV_NB_shp,34,47.731853,-122.373528
SNDR_EV_NB_shp,35,47.739676,-122.376722
SNDR_EV_NB_shp,36,47.747931,-122.382193
SNDR_EV_NB_shp,37,47.753386,-122.381099
SNDR_EV_NB_shp,38,47.756608,-122.379405
SNDR_EV_NB_shp,39,47.758653,-122.379582
SNDR_EV_NB_shp,40,47.765154,-122.385591
SNDR_EV_NB_shp,41,47.770000,-122.391450
SNDR_EV_NB_shp,42,47.771434,-122.392298
SNDR_EV_NB_shp,43,47.779705,-122.393629
SNDR_EV_NB_shp,44,47.785416,-122.390518
SNDR_EV_NB_shp,45,47.789173,-122.390633
SNDR_EV_NB_shp,46,47.796588,-122.391900
SNDR_EV_NB_shp,47,47.801403,-122.394400
SNDR_EV_NB_shp,48,47.802821,-122.394486
SNDR_EV_NB_shp,49,47.804288,-122.393402
SNDR_EV_NB_shp,50,47.814172,-122.380739
SNDR_EV_NB_shp,51,47.820676,-122.374747
SNDR_EV_NB_shp,52,47.840119,-122.353419
SNDR_EV_NB_shp,53,47.841438,-122.350901
SNDR_EV_NB_shp,54,47.842262,-122.346300
SNDR_EV_NB_shp,55,47.843491,-122.343739
SNDR_EV_NB_shp,56,47.846523,-122.339808
SNDR_EV_NB_shp,57,47.851273,-122.335885
SNDR_EV_NB_shp,58,47.855821,-122.334290
SNDR_EV_NB_shp,59,47.861452,-122.334658
SNDR_EV_NB_shp,60,47.864476,-122.333127
SNDR_EV_NB_shp,61,47.867250,-122.330304
SNDR_EV_NB_shp,62,47.869687,-122.329075
SNDR_EV_NB_shp,63,47.875664,-122.329713
SNDR_EV_NB_shp,64,47.879083,-122.332278
SNDR_EV_NB_shp,65,47.880780,-122.332679
SNDR_EV_NB_shp,66,47.893893,-122.326961
SNDR_EV_NB_shp,67,47.898648,-122.326838
SNDR_EV_NB_shp,68,47.905128,-122.324415
SNDR_EV_NB_shp,69,47.908921,-122.321805
SNDR_EV_NB_shp,70,47.914044,-122.320465
SNDR_EV_NB_shp,71,47.924350,-122.310489
SNDR_EV_NB_shp,72,47.926525,-122.309273
SNDR_EV_NB_shp,73,47.929375,-122.309007
SNDR_EV_NB_shp,74,47.937171,-122.310324
SNDR_EV_NB_shp,75,47.941012,-122.309348
SNDR_EV_NB_shp,76,47.941322,-122.309199
SNDR_EV_NB_shp,77,47.945507,-122.307149
SNDR_EV_NB_shp,78,47.947195,-122.304918
SNDR_EV_NB_shp,79,47.951545,-122.289645
SNDR_EV_NB_shp,80,47.955618,-122.279715
SNDR_EV_NB_shp,81,47.956451,-122.275577
SNDR_EV_NB_shp,82,47.957133,-122.266768
SNDR_EV_NB_shp,83,47.958117,-122.261971
SNDR_EV_NB_shp,84,47.958341,-122.253759
SNDR_EV_NB_shp,85,47.959627,-122.248442
SNDR_EV_NB_shp,86,47.965305,-122.237925
SNDR_EV_NB_shp,87,47.969801,-122.231578
